country,group,year,resource,performance
미국,북미,2024,6.003,4.059
캐나다,북미,2020,2.343,3.023
캐나다,북미,2021,2.291,2.994
캐나다,북미,2022,2.211,3.004
캐나다,북미,2023,2.161,2.978
캐나다,북미,2024,2.119,2.848
칠레,남미,2020,0.428,0.672
칠레,남미,2021,0.378,0.704
칠레,남미,2022,0.43,0.771
칠레,남미,2023,0.465,0.766
칠레,남미,2024,0.407,0.753
멕시코,남미,2020,0.085,0.607
멕시코,남미,2021,0.084,0.619
멕시코,남미,2022,0.087,0.697
멕시코,남미,2023,0.081,0.597
멕시코,남미,2024,0.081,0.568
호주,오세아니아,2020,1.203,1.525
호주,오세아니아,2021,1.196,1.551
호주,오세아니아,2022,1.241,1.657
호주,오세아니아,2023,1.237,1.773
호주,오세아니아,2024,1.205,1.711
뉴질랜드,오세아니아,2020,0.961,1.296
뉴질랜드,오세아니아,2021,0.977,1.254
뉴질랜드,오세아니아,2022,0.989,1.44
뉴질랜드,오세아니아,2023,0.999,1.744
뉴질랜드,오세아니아,2024,0.957,1.744
